structure,structure_id,action,freq,ref_area,value,unit_measure,time_period,obs_value,unit_mult,breaks,coverage,title_ts,obs_status,obs_conf,obs_pre_break
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1987-Q3,12.8324,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1987-Q4,15.9732,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1988-Q1,17.7154,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1988-Q2,18.6848,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1988-Q3,27.1985,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1988-Q4,27.2462,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1989-Q1,24.0188,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1989-Q2,20.7683,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1989-Q3,10.5907,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1989-Q4,1.659,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1990-Q1,-2.7371,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1990-Q2,-7.69,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1990-Q3,-9.9198,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1990-Q4,-9.8308,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1991-Q1,-8.4224,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1991-Q2,-9.1975,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1991-Q3,-8.5643,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1991-Q4,-7.1614,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1992-Q1,-7.3656,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1992-Q2,-6.9862,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1992-Q3,-7.4288,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1992-Q4,-9.8391,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1993-Q1,-7.6128,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1993-Q2,-4.6303,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1993-Q3,-3.2724,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1993-Q4,-0.8863,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1994-Q1,-0.3898,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1994-Q2,0.648,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1994-Q3,0.6217,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1994-Q4,1.7744,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1995-Q1,-0.9153,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1995-Q2,-1.0791,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1995-Q3,-2.2715,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1995-Q4,-3.2057,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
